quantile,model,method,trial,loss,hit_rate_in,hit_rate_out,dq_in,dq_out,binom_in,binom_out,traffic_in,traffic_out,kupiec_in,kupiec_out,independent_in,independent_out
0.05,asymmetric,mle,8,0.124139162,0.050371156,0.036732456,0.282476655,0.999114159,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,9,0.124139056,0.050106045,0.036732456,0.292528632,0.999114163,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,10,0.124143501,0.050371156,0.037828947,0.289075014,0.998141459,0.910748281,0.015536822,green,green,,1,,0.831385573
0.05,asymmetric,mle,11,0.124139198,0.050371156,0.036732456,0.282056484,0.999114157,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,12,0.124156528,0.050106045,0.036732456,0.311855323,0.997036331,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,13,0.124139059,0.050106045,0.036732456,0.292508331,0.999114168,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,14,0.12413913,0.050106045,0.036732456,0.280684794,0.99911411,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,15,0.124139077,0.050106045,0.036732456,0.292570838,0.999114144,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,16,0.1241392,0.050106045,0.036732456,0.292410331,0.999114195,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,17,0.124139058,0.050106045,0.036732456,0.302730294,0.999114165,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,18,0.124139177,0.050371156,0.036732456,0.282249013,0.999114215,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,19,0.124139478,0.050106045,0.036732456,0.280716822,0.999113916,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,20,0.124139835,0.050371156,0.037280702,0.283500753,0.998904895,0.910748281,0.011465494,green,green,,1,,0.847888226
0.05,asymmetric,mle,21,0.12413958,0.050106045,0.036732456,0.292265284,0.999114229,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,22,0.124139147,0.050106045,0.036732456,0.302795068,0.999114153,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,23,0.124139206,0.050106045,0.036732456,0.286680731,0.999114164,0.970194032,0.008372426,green,green,,1,,0.652149313
